month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance,dep_time_bin,carrier_origin
10,1,0.193371815,0.180620696,0.18327606,2000,277,0.307938035,0.218202049
8,6,0.227520436,0.201082753,0.202672606,910,223,0.107609327,0.18128655
11,3,0.257645701,0.206087824,0.169817927,1600,2611,0.209605296,0.262697023
11,6,0.253760206,0.16878865,0.219546742,2325,2402,0.307938035,0.20045045
12,1,0.179017013,0.138636364,0.280818414,825,326,0.107609327,0.243611421
3,6,0.179017013,0.160886868,0.183679456,905,223,0.107609327,0.169491525
10,4,0.193371815,0.18494152,0.144570707,600,507,0.107609327,0.197228145
8,4,0.227520436,0.22991128,0.169817927,2145,1744,0.307938035,0.297871787
9,4,0.253760206,0.262749446,0.181655481,1300,1389,0.209605296,0.326890756
10,3,0.193371815,0.189175258,0.182578397,1900,562,0.307938035,0.173160173
7,6,0.179017013,0.16878865,0.172413793,1423,862,0.209605296,0.137992832
7,6,0.193371815,0.202312139,0.211971026,2020,1099,0.307938035,0.235771097
10,7,0.187981127,0.266837716,0.211428569,1725,530,0.307938035,0.178571429
3,7,0.193371815,0.216216216,0.211971026,1120,1067,0.107609327,0.22022022
1,3,0.188744508,0.179271709,0.198044623,1130,760,0.209605296,0.152969511
9,6,0.193371815,0.201082753,0.231023102,940,345,0.107609327,0.223931624
11,4,0.164141953,0.198960499,0.196825397,820,859,0.107609327,0.188465175
3,3,0.253760206,0.262749446,0.182578397,1312,631,0.209605296,0.326890756
3,7,0.164141953,0.179347826,0.16384535,1645,526,0.209605296,0.226543408
3,4,0.193371815,0.100840336,0.186915888,1030,2378,0.107609327,0.033945579
8,5,0.164141953,0.198960499,0.205882351,1355,306,0.209605296,0.188465175
12,5,0.200784094,0.165354331,0.199887704,714,2454,0.107609327,0.181451613
8,5,0.193371815,0.18494152,0.185483871,1705,347,0.307938035,0.197228145
9,4,0.188744508,0.22991128,0.205731832,845,258,0.107609327,0.222398729
8,4,0.253760206,0.195259594,0.219789132,2000,1521,0.307938035,0.163461539
6,3,0.213325183,0.194444444,0.209183673,1723,812,0.307938035,0.09393202
3,7,0.253760206,0.263761468,0.214473684,1432,632,0.209605296,0.280694938
9,4,0.188744508,0.22991128,0.194915254,1950,403,0.307938035,0.222398729
9,3,0.137856629,0.195227766,0.222506394,2140,725,0.307938035,0.162650602
