month,day_of_week,op_unique_carrier,origin,dest,crs_dep_time,distance
6,1,13,193,89,1720,771.0
4,6,0,268,86,705,227.0
3,7,13,274,246,1610,601.0
4,7,11,329,302,623,175.0
2,6,9,116,161,1530,1005.0
8,7,13,74,246,1135,551.0
10,3,11,215,89,907,752.0
1,4,6,22,96,1536,813.0
3,5,13,55,205,1605,787.0
7,4,11,181,304,1300,373.0
8,3,13,20,86,1435,547.0
2,7,13,246,282,1630,843.0
3,3,9,201,70,600,802.0
11,1,14,97,189,1826,502.0
5,4,11,302,246,545,507.0
12,3,13,55,14,2055,289.0
12,2,1,212,41,2230,806.0
7,6,1,212,67,2110,1080.0
3,7,8,90,128,1022,773.0
1,4,13,281,84,1015,1182.0
6,1,13,320,55,610,273.0
2,4,13,22,178,1525,1090.0
12,3,7,146,165,1720,216.0
1,6,11,304,246,1248,647.0
7,6,4,157,180,600,1379.0
12,5,14,227,109,1353,550.0
10,7,1,235,293,842,1846.0
2,3,12,89,302,802,391.0
6,7,11,290,223,700,604.0
12,1,3,201,148,1100,972.0
3,6,3,201,43,844,1121.0
10,7,9,201,161,910,829.0
2,1,4,223,134,2035,408.0
7,4,5,212,268,600,700.0
6,2,11,235,19,850,1013.0
